2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
2483000000	-1.4660765717	-4.05707383220003	-9.57821203579292	-5.48658385598975	2.16264217317967	1.52720573431006
2483000000	-1.4137166941	-4.14691741497112	-10.9002202231107	-5.17718361705093	2.05891731623601	1.46319960270255
2483000000	-1.3613568166	-4.42216461079222	-12.4634453715498	-5.16383722507515	1.95808686034118	1.38562648704756
2483000000	-1.308996939	-4.98878701259983	-14.2895213734524	-5.53149170012979	1.8955127728342	1.30293594887538
2483000000	-1.2566370614	-5.96668714163834	-16.4177188230973	-6.37692088651749	1.92253118966095	1.21892764926081
2483000000	-1.2042771839	-7.46535154374418	-18.6427930493561	-7.80982023818742	2.11040903256244	1.13682664250169
2483000000	-1.1519173063	-9.63535365672908	-19.8747461368301	-10.0671260148663	2.50118659464631	1.06366686935834
2483000000	-1.0995574288	-12.6655628932871	-18.890775119918	-13.8488337311156	2.92227456791738	1.02091605118957
2483000000	-1.0471975512	-15.7390121159789	-16.8080156964161	-22.3506071095783	-3.10244426624647	1.16550867815291
2483000000	-0.9948376736	-14.0550761425744	-14.8881913232386	-21.6357693213639	-2.98051444808581	-2.73131128027905
2483000000	-0.9424777961	-9.69916497009208	-13.4649540175595	-12.0661295630021	-2.93065730396835	-2.56883311103523
2483000000	-0.8901179185	-6.15102611229991	-12.5524313693197	-7.28055359450438	-2.91153441648984	-2.57154719859988
2483000000	-0.837758041	-3.50262541829197	-12.133159100725	-4.14287644367371	-2.89526094399079	-2.59180593994519
2483000000	-0.7853981634	-1.54338477693217	-12.2158502765463	-1.93228451797429	-2.85893149783741	-2.61130627692709
2483000000	-0.7330382858	-0.122148105652537	-12.816893189741	-0.362172709239396	-2.78053891732472	-2.62205859160636
2483000000	-0.6806784083	0.84863802352381	-13.9340437417427	0.701800405873153	-2.63197229358413	-2.61743548365104
2483000000	-0.6283185307	1.41962339667324	-15.3683771768598	1.32766870851386	-2.3752793096941	-2.59089913894376
2483000000	-0.5759586532	1.61389264203259	-16.4692933965409	1.54583701413082	-1.98921675601728	-2.53583095886809
2483000000	-0.5235987756	1.43335958790348	-16.4417740940204	1.36193673533141	-1.5508587299544	-2.4448075550197
2483000000	-0.47123889804	0.886827967016542	-15.6240397047933	0.788745258584298	-1.18282840641886	-2.30735825473923
2483000000	-0.41887902048	0.0472243364318168	-14.8813895564941	-0.0946810470236447	-0.891897044163221	-2.10766156563095
2483000000	-0.36651914292	-0.848105028974383	-14.5606536658689	-1.03687537752266	-0.619441581118513	-1.82968575759072
2483000000	-0.31415926536	-1.33392298552429	-14.5374546802556	-1.54675114705094	-0.313724828021217	-1.48361235534984
2483000000	-0.2617993878	-1.06133968156674	-14.4543134072169	-1.26486740915175	0.0408915691906259	-1.13669192590824
2483000000	-0.20943951024	-0.254666694821248	-14.0717446163631	-0.438851246030121	0.417346929781802	-0.86290020638624
2483000000	-0.15707963268	0.606543483041769	-13.4331316720758	0.431749210976543	0.781414120731595	-0.678485686510676
